# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, WindX, WindY, WindZ
6.100999999999999801e+01,-4.435525576332084025e-02,6.709272342308422732e-02,-1.346405258179627085e+00,9.492310450107236619e+00,9.958756971269844271e+00,1.010140943269211711e+01,3.353319219538745677e-01,3.181212238666449865e-01,3.362408154703909746e-01,3.183060387090895227e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.200999999999999801e+01,-3.957702161090310977e-02,5.986592721133136147e-02,-1.146401032379822382e+00,9.482608034584023571e+00,9.964456775829194868e+00,1.010317605441881561e+01,3.385845419356805497e-01,3.149290311869381576e-01,3.393929690982548375e-01,3.150934577791265068e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.300999999999999801e+01,-3.531481476204682834e-02,5.341880469826904010e-02,-9.509554217788005470e-01,9.472910326117467861e+00,9.970405773067472666e+00,1.010494248233635517e+01,3.415391838260712909e-01,3.120279034878079005e-01,3.422585162095242994e-01,3.121743964765965607e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.401000000000000512e+01,-3.151182686869886257e-02,4.766578007382320931e-02,-7.611881835666189922e-01,9.463216583764650025e+00,9.976604057696459193e+00,1.010670873723050533e+01,3.441939542221885695e-01,3.094202435240928639e-01,3.448348277495197900e-01,3.095509745041987726e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.501000000000000512e+01,-2.811782153029682846e-02,4.253126936817831771e-02,-5.781061291209209640e-01,9.453526071976408929e+00,9.983051713412997685e+00,1.010847483766161758e+01,3.465494622787011481e-01,3.071062028940405031e-01,3.471213200446531810e-01,3.072230147826052193e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.601000000000000512e+01,-2.508852412467923315e-02,3.794859916588414622e-02,-4.026031007879053991e-01,9.443838067070679188e+00,9.989748813781138992e+00,1.011024080020481009e+01,3.486085435317513581e-01,3.050837954934553231e-01,3.491194387378686592e-01,3.051882222369247666e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.701000000000000512e+01,-2.238485177451376637e-02,3.385877810324815218e-02,-2.354607665895519231e-01,9.434151863033934049e+00,9.996695423185821383e+00,1.011200663966376467e+01,3.503759736081064058e-01,3.033490287245607653e-01,3.508326408495588966e-01,3.034423568177739838e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.801000000000000512e+01,-1.997212674603896301e-02,3.020932565759498756e-02,-7.735017458865904583e-02,9.424466776669239820e+00,1.000389159766733194e+01,1.011377236926030321e+01,3.518582231230230062e-01,3.018960543269764707e-01,3.522663266290616546e-01,3.019793959209389200e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.901000000000000512e+01,-1.781938986951436474e-02,2.695329825794170325e-02,7.116599310500555664e-02,9.414782152112758595e+00,1.001133738580345600e+01,1.011553800080236165e+01,3.530632709036038985e-01,3.007173342700284469e-01,3.534277069031268037e-01,3.007916879232409024e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
7.001000000000000512e+01,-1.589887106584732951e-02,2.404855997666904485e-02,2.096305279063856442e-01,9.405097364745451216e+00,1.001903282949625940e+01,1.011730354483346517e+01,3.540004654540759299e-01,2.998038141704884030e-01,3.543256187101616050e-01,2.998701016652741691e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
